date,order_id,city,channel,amount
"2026-09-20","DD20260920001","杭州","外卖","516.80"
"2026-09-20","DD20260920002","上海","电商","1432.01"
"2026-09-20","DD20260920003","上海","电商","1326.61"
"2026-09-20","DD20260920004","深圳","电商","¥1,094.56"
"2026-09-20","DD20260920005","深圳","门店"," 792.31 "
"2026-09-20","DD20260920006","上海","门店"," 1,360.88 "
"2026-09-20","DD20260920007","杭州","团购","1010.16"
"2026-09-20","DD20260920008","北京","团购"," 1,474.82 "
"2026-09-20","DD20260920009","杭州","外卖","542.62"
"2026-09-20","DD20260920010","杭州","团购","1,221.27"
"2026-09-20","DD20260920011","广州","团购","1054.29"
"2026-09-20","DD20260920012","深圳","门店","1058.33"
"2026-09-20","DD20260920901","深圳","电商",""
"2026-09-20","DD20260920902","广州","电商","(380.00)"
"2026-09-20","DD20260920903","","门店","¥520.00"
