date,order_id,city,channel,amount
"2026年09月24日","DD20260924001","深圳","电商","1620.10"
"2026年09月24日","DD20260924002","深圳","外卖"," 1,632.74 "
"2026年09月24日","DD20260924003","北京","门店"," 1,355.51 "
"2026年09月24日","DD20260924004","杭州","门店","1,201.25"
"2026年09月24日","DD20260924005","北京","门店","1,412.15"
"2026年09月24日","DD20260924006","北京","外卖","¥1,441.87"
"2026年09月24日","DD20260924007","北京","团购","1180.61"
"2026年09月24日","DD20260924008","杭州","门店","¥780.84"
"2026年09月24日","DD20260924009","北京","团购"," 1,184.87 "
"2026年09月24日","DD20260924010","广州","外卖","¥946.97"
"2026年09月24日","DD20260924011","北京","电商"," 588.83 "
"2026年09月24日","DD20260924012","上海","电商","626.51"
"2026年09月24日","DD20260924901","深圳","电商",""
"2026年09月24日","DD20260924902","广州","电商","(380.00)"
"2026年09月24日","DD20260924903","","门店","520.00"
