date,order_id,city,channel,amount
"2026/09/21","DD20260921001","上海","团购","1,489.19"
"2026/09/21","DD20260921002","广州","门店","698.94"
"2026/09/21","DD20260921003","广州","团购"," 918.56 "
"2026/09/21","DD20260921004","北京","外卖","1637.93"
"2026/09/21","DD20260921005","上海","门店"," 1,511.77 "
"2026/09/21","DD20260921006","深圳","门店","¥998.49"
"2026/09/21","DD20260921007","北京","电商","1,131.63"
"2026/09/21","DD20260921008","深圳","门店"," 727.02 "
"2026/09/21","DD20260921009","深圳","外卖","1,273.04"
"2026/09/21","DD20260921010","深圳","电商"," 1,275.61 "
"2026/09/21","DD20260921011","深圳","门店","¥1,500.90"
"2026/09/21","DD20260921012","上海","外卖","1,255.02"
"2026/09/21","DD20260921901","深圳","电商",""
"2026/09/21","DD20260921902","广州","电商","(380.00)"
"2026/09/21","DD20260921903","","门店","520.00"
